25681 hours ago, oracle-proxy.hq.takealot.com, ubuntu 16.04.
6587 hours ago, cpt-hq-ofrep01-new.hq.takealot.com, ubuntu 18.04.
4484 hours ago, hq-postgres-13-services.hq.takealot.com, ubuntu 20.04.
4480 hours ago, cpt-hq-kmime02.hq.takealot.com, ubuntu 20.04.
4195 hours ago, jhb-dc-scan10.jwh.takealot.com, ubuntu 20.04.
4189 hours ago, cpt-hq-smtp03.hq.takealot.com, ubuntu 20.04.
4167 hours ago, jhb-dc-checkmk.jwh.takealot.com, ubuntu 20.04.
4167 hours ago, jhb-dc-zabbix01.jwh.takealot.com, ubuntu 20.04.
4146 hours ago, cpt-hq-iam01.takealot.com, ubuntu 20.04.
4077 hours ago, cpt-hq-qvproc01.hq.takealot.com, ubuntu 16.04.
4077 hours ago, smtp.hq.takealot.com, ubuntu 20.04.
4077 hours ago, cpt-hq-qvproc02.hq.takealot.com, ubuntu 16.04.
4076 hours ago, cpt-sb-mbs01.hq.takealot.com, ubuntu 16.04.
4076 hours ago, cpt-hq-db01.hq.takealot.com, ubuntu 16.04.
4071 hours ago, cpt-sb-qv02.hq.takealot.com, ubuntu 16.04.
4071 hours ago, atlassiandb.hq.takealot.com, ubuntu 18.04.
4071 hours ago, cpt-hq-dhcp01.hq.takealot.com, ubuntu 16.04.
4070 hours ago, cpt-hq-confluence01.hq.takealot.com, ubuntu 18.04.
4069 hours ago, cpt-hq-knime01.hq.takealot.com, ubuntu 16.04.
4053 hours ago, cpt-hq-storage.hq.takealot.com, ubuntu 22.04.
4004 hours ago, cpt-hq-knime02.hq.takealot.com, ubuntu 20.04.
4003 hours ago, cpt-hq-mrdproc02.hq.takealot.com, ubuntu 18.04.
4002 hours ago, cpt-hq-iam01.hq.takealot.com, ubuntu 20.04.
4002 hours ago, cpt-hq-fog01.hq.takealot.com, ubuntu 20.04.
3981 hours ago, cpt-hq-psql-payflex.hq.takealot.com, ubuntu 20.04.
3981 hours ago, hq-mysql-57-services-03.hq.takealot.com, ubuntu 18.04.
3977 hours ago, qvdb02-mrdfood.hq.takealot.com, ubuntu 18.04.
3977 hours ago, cpt-hq-graphite01.hq.takealot.com, ubuntu 20.04.
3977 hours ago, hq-mysql-8-newsletter-integration.hq.takealot.com, ubuntu 20.04.
3977 hours ago, hq-mysql-8-supplier-product-management-service.hq.takealot.com, ubuntu 20.04.
3976 hours ago, cpt-hq-ofrep01.hq.takealot.com, ubuntu 18.04.
3974 hours ago, cpt-hq-appstore.hq.takealot.com, ubuntu 22.04.
3887 hours ago, cpt-dc-dhcp03.cwh.takealot.com, ubuntu 20.04.
3857 hours ago, cpt-hq-jira01.hq.takealot.com, ubuntu 18.04.
3800 hours ago, cpt-dc-ns01.cwh.takealot.com, ubuntu 20.04.
3693 hours ago, cpt-dc-dhcp01.cwh.takealot.com, ubuntu 20.04.
3672 hours ago, cpt-dc-radius02.cwh.takealot.com, ubuntu 20.04.
3551 hours ago, cpt-hq-checkmk.hq.takealot.com, ubuntu 20.04.
3524 hours ago, jhb-dc-fog01.jwh.takealot.com, ubuntu 20.04.
3524 hours ago, jhb-dc-dhcp03.jwh.takealot.com, ubuntu 20.04.
3524 hours ago, jhb-dc-smtp02.jwh.takealot.com, ubuntu 20.04.
3228 hours ago, cpt-dc-ns03.cwh.takealot.com, ubuntu 20.04.
3069 hours ago, cpt-dc1-scanprox02.cwh.takealot.com, ubuntu 20.04.
3039 hours ago, hq-take2.hq.takealot.com, ubuntu 16.04.
3039 hours ago, cpt-hq-db02.hq.takealot.com, ubuntu 16.04.
3022 hours ago, cpt-hq-psql01.hq.takealot.com, ubuntu 22.04.
3022 hours ago, hq-mysql-common.hq.takealot.com, ubuntu 20.04.
3022 hours ago, hq-mysql-57-services-05.hq.takealot.com, ubuntu 18.04.
3022 hours ago, hq-mysql-57-services-10.hq.takealot.com, ubuntu 20.04.
3022 hours ago, hq-mysql-57-services-12.hq.takealot.com, ubuntu 20.04.
3022 hours ago, cpt-hq-db02-b55.hq.takealot.com, ubuntu 16.04.
2568 hours ago, hq-mysql-57-services-07.hq.takealot.com, ubuntu 18.04.
2542 hours ago, cpt-hq-syslog-poc.hq.takealot.com, ubuntu 22.04.
2303 hours ago, cpt-hq-chef02.hq.takealot.com, ubuntu 20.04.
2302 hours ago, cpt-hq-sensu01.hq.takealot.com, ubuntu 20.04.
1966 hours ago, cpt-hq-ns01.hq.takealot.com, ubuntu 22.04.
1734 hours ago, cpt-hq-syslog01.hq.takealot.com, ubuntu 20.04.
1702 hours ago, cpt-hq-kibana03.hq.takealot.com, ubuntu 20.04.
1702 hours ago, cpt-hq-logstash01.hq.takealot.com, ubuntu 20.04.
1702 hours ago, cpt-hq-es01.hq.takealot.com, ubuntu 20.04.
1626 hours ago, cpt-dc-cmk02.cwh.takealot.com, ubuntu 20.04.
1532 hours ago, cpt-hq-map01.hq.takealot.com, ubuntu 20.04.
1529 hours ago, cpt-hq-backup.hq.takealot.com, ubuntu 22.04.
1371 hours ago, cpt-hq-mrdproc01.hq.takealot.com, ubuntu 20.04.
1370 hours ago, graphite-import.hq.takealot.com, ubuntu 20.04.
1370 hours ago, cpt-hq-grafana02.hq.takealot.com, ubuntu 20.04.
1346 hours ago, cpt-hq-packetbeat01.hq.takealot.com, ubuntu 20.04.
1124 hours ago, sage-proxy.hq.takealot.com, ubuntu 16.04.
1049 hours ago, cpt-hq-oracledb01.hq.takealot.com, ubuntu 20.04.
695 hours ago, cpt-hq-rshiny01.hq.takealot.com, ubuntu 16.04.
623 hours ago, cpt-hq-es03.hq.takealot.com, ubuntu 20.04.
623 hours ago, cpt-hq-es02.hq.takealot.com, ubuntu 20.04.
516 hours ago, hq-mysql-chsbe-shared.hq.takealot.com, ubuntu 20.04.
452 hours ago, cpt-hq-qvdb02.hq.takealot.com, ubuntu 16.04.
382 hours ago, hq-mysql-57-services-04.hq.takealot.com, ubuntu 20.04.
310 hours ago, jira.hq.takealot.com, ubuntu 18.04.
18 hours ago, confluence.hq.takealot.com, ubuntu 18.04.
17 hours ago, webmail.hq.takealot.com, ubuntu 16.04.
17 hours ago, jhb-dc-fog01.hq.takealot.com, ubuntu 20.04.
17 hours ago, cpt-dc-zabbix-proxy.cwh.takealot.com, ubuntu 20.04.
17 hours ago, cpt-hq-pearl02.hq.takealot.com, ubuntu 20.04.
1 hour  ago, cpt-dc-ntp01.cwh.takealot.com, ubuntu 20.04.
57 minutes ago, jira-collector.hq.takealot.com, ubuntu 20.04.
55 minutes ago, hq-postgres-13.hq.takealot.com, ubuntu 20.04.
53 minutes ago, cpt-hq-db03.hq.takealot.com, ubuntu 20.04.
50 minutes ago, jhb-dc-logstash01.jwh.takealot.com, ubuntu 20.04.
50 minutes ago, jhb-dc-db02.jwh.takealot.com, ubuntu 20.04.
49 minutes ago, cpt-hq-smtp02.hq.takealot.com, ubuntu 20.04.
46 minutes ago, hq-mysql-57-services-14.hq.takealot.com, ubuntu 20.04.
41 minutes ago, jhb-dc-ntp01.jwh.takealot.com, ubuntu 20.04.
39 minutes ago, jhb-dc-dhcp01.jwh.takealot.com, ubuntu 20.04.
38 minutes ago, cpt-hq-mattermost01.hq.takealot.com, ubuntu 20.04.
35 minutes ago, cpt-dc-db02.cwh.takealot.com, ubuntu 20.04.
34 minutes ago, jhb-dc-ns03.jwh.takealot.com, ubuntu 20.04.
30 minutes ago, cpt-hq-sftp01.hq.takealot.com, ubuntu 18.04.
27 minutes ago, staging-smtp.hq.takealot.com, ubuntu 20.04.
27 minutes ago, atlassian-proxy.hq.takealot.com, ubuntu 18.04.
27 minutes ago, xoa.hq.takealot.com, ubuntu 22.04.
22 minutes ago, payment-proxy.hq.takealot.com, ubuntu 20.04.
20 minutes ago, jhb-dc-db01.jwh.takealot.com, ubuntu 20.04.
17 minutes ago, cpt-hq-ntp01.hq.takealot.com, ubuntu 20.04.
16 minutes ago, jhb-dc-ns01.jwh.takealot.com, ubuntu 20.04.
11 minutes ago, cpt-dc1-scanprox01.cwh.takealot.com, ubuntu 20.04.
11 minutes ago, cpt-hq-ns02.hq.takealot.com, ubuntu 16.04.
9 minutes ago, cpt-hq-dhcp02.hq.takealot.com, ubuntu 16.04.
8 minutes ago, cpt-hq-cms01.hq.takealot.com, ubuntu 20.04.
1 minute  ago, cpt-hq-smtp04.hq.takealot.com, ubuntu 20.04.
